12:00:00	45-NK-JX
12:00:03	DX-89-EH
12:00:11	ZS-24-74
12:00:19	09-PQ-23
12:00:20	NG-24-DB
12:00:33	QW-23-56
12:00:42	MN-25-TR
12:00:46	02-RV-WE
12:00:48	ME-72-XD
12:00:52	YH-34-OS
12:01:01	UI-55-ZZ
12:01:12	TR-MD-68
12:01:15	CF-QW-46
12:01:28	03-LC-TF
12:01:39	GF-PY-26
12:01:44	57-AS-74
12:01:46	54-NK-JX
12:01:51	YG-SL-94
12:01:56	WM-20-PF
12:02:04	NS-20-FW
12:02:08	PR-22-WD
12:02:14	MJ-HF-73
12:02:34	ST-RC-01
12:02:35	ST-RC-02
12:02:37	ST-RC-03
12:02:40	PO-LI-CE
12:02:42	TG-ZS-93
12:02:45	78-SD-PX
12:02:51	98-54-FJ
12:02:57	HP-81-SS
12:03:05	EL-89-10
12:03:14	MD-GJ-36
12:03:17	KG-00-DF
12:03:18	PW-CF-45
12:03:20	MF-TF-24
12:03:33	34-SR-52
12:03:55	TL-WV-33
12:04:01	34-DF-HT
12:04:08	BN-08-SP
12:04:12	12-TG-LK
12:04:27	DT-20-SQ
12:04:35	RG-52-68
12:04:44	92-FB-56
12:04:47	PL-VF-52
12:05:02	46-25-FG
12:05:23	FD-07-KS
12:05:27	MG-YW-24
12:05:29	34-YH-92
12:05:33	09-VS-JZ
12:05:41	TG-UH-12
12:05:47	DW-DD-34
12:06:04	95-LI-NK
12:06:06	46-FV-35
12:06:09	PL-ZS-46
12:06:14	FG-34-76
12:06:20	FG-22-JT
12:06:28	66-NB-12
12:06:33	74-BG-51
12:06:35	37-35-FT
12:06:44	GB-WY-34
12:06:46	CV-36-GH
12:06:59	46-TZ-35
12:07:07	63-15-YM
12:07:09	MK-45-24
12:07:11	KN-35-XF
12:07:13	PL-84-24
12:07:23	19-HG-82
12:07:28	ND-26-HP
12:07:29	RF-74-KJ
12:07:43	XR-BV-32
12:07:52	FR-37-83
12:07:56	MN-FJ-35
12:08:00	HN-SW-50
12:08:10	77-CC-TT
12:08:15	KL-WR-44
12:08:18	GQ-XC-69
12:08:19	91-VT-CR
12:08:29	FB-SK-42
12:08:39	KM-23-17
12:08:42	WT-31-DC
12:08:43	MT-ZH-35
12:08:47	82-NL-13
12:08:54	MJ-HF-63
12:08:58	PT-92-74
12:09:08	09-QC-GN
12:09:16	MN-89-SL
12:09:20	AN-WB-52
12:09:23	JM-85-PQ
12:09:24	61-36-DT
12:09:30	02-JW-44
12:09:34	QW-21-KX
12:09:42	YC-00-WT
12:09:44	NF-49-RT
12:09:50	PL-83-SV
12:09:53	PF-EC-21
